county,race,rate,ci_lower,ci_upper,moe,rse,risk_factor,gender
Atlantic,Black/African American,70,109.4,88.1,,,Lung and Bronchus,Male
Atlantic,Black/African American,~,~,~,,,Male Breast,Male
Atlantic,Black/African American,~,~,~,,,Melanomas of the Skin,Male
Atlantic,Black/African American,~,~,~,,,Mesothelioma,Male
Atlantic,Black/African American,~,~,~,,,Myeloma,Male
Atlantic,Black/African American,13.5,33.6,21.9,,,Non-Hodgkin Lymphoma,Male
Atlantic,Black/African American,15.2,34.4,23.3,,,Oral Cavity and Pharynx,Male
Atlantic,Black/African American,11.3,30.1,19.1,,,Pancreas,Male
Atlantic,Black/African American,158.5,212,183.8,,,Prostate,Male
Atlantic,Black/African American,~,~,~,,,Stomach,Male
Atlantic,Black/African American,~,~,~,,,Testis,Male
Atlantic,Black/African American,~,~,~,,,Thyroid,Male
Atlantic,Black/African American,15.3,36.7,24.4,,,Urinary Bladder,Male
Atlantic,Black/African American,441.8,497,468.8,,,All Cancer Sites Combined,Male and Female
Atlantic,Black/African American,~,~,~,,,Brain and Other Nervous System,Male and Female
Atlantic,Black/African American,~,~,~,,,Cervix,Male and Female
Atlantic,Black/African American,28.1,43.7,35.3,,,Colon and Rectum,Male and Female
Atlantic,Black/African American,23.4,42.7,31.9,,,"Corpus and Uterus, NOS",Male and Female
Atlantic,Black/African American,~,~,~,,,Esophagus,Male and Female
Atlantic,Black/African American,~,~,~,,,Hodgkin Lymphoma,Male and Female
Atlantic,Black/African American,~,~,~,,,Kaposi Sarcoma,Male and Female
Atlantic,Black/African American,15,26.9,20.3,,,Kidney and Renal Pelvis,Male and Female
Atlantic,Black/African American,~,~,~,,,Larynx,Male and Female
Atlantic,Black/African American,6.9,15.9,10.7,,,Leukemias,Male and Female
Atlantic,Black/African American,8.7,17.7,12.6,,,Liver and Intrahepatic Bile Duct,Male and Female
Atlantic,Black/African American,58.2,79.6,68.3,,,Lung and Bronchus,Male and Female
Atlantic,Black/African American,96.4,132.9,113.5,,,Male and Female Breast,Male and Female
Atlantic,Black/African American,22.2,41.8,30.9,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Atlantic,Black/African American,~,~,~,,,Melanomas of the Skin,Male and Female
Atlantic,Black/African American,~,~,~,,,Mesothelioma,Male and Female
Atlantic,Black/African American,7.4,16.9,11.4,,,Myeloma,Male and Female
Atlantic,Black/African American,11.3,21.9,16,,,Non-Hodgkin Lymphoma,Male and Female
Atlantic,Black/African American,7.9,16.8,11.7,,,Oral Cavity and Pharynx,Male and Female
Atlantic,Black/African American,6.5,18.9,11.5,,,Ovary,Male and Female
Atlantic,Black/African American,10.2,20.4,14.6,,,Pancreas,Male and Female
Atlantic,Black/African American,158.5,212,183.8,,,Prostate,Male and Female
Atlantic,Black/African American,5.3,13.6,8.8,,,Stomach,Male and Female
Atlantic,Black/African American,~,~,~,,,Testis,Male and Female
Atlantic,Black/African American,8.9,19.1,13.3,,,Thyroid,Male and Female
Atlantic,Black/African American,8.9,18.5,13.1,,,Urinary Bladder,Male and Female
Atlantic,Hispanic/Latino,326.8,412.8,368.1,,,All Cancer Sites Combined,Female
Atlantic,Hispanic/Latino,~,~,~,,,Brain and Other Nervous System,Female
Atlantic,Hispanic/Latino,8.3,24.9,15,,,Cervix,Female
Atlantic,Hispanic/Latino,23.2,54,36.5,,,Colon and Rectum,Female
Atlantic,Hispanic/Latino,20.5,43.6,30.5,,,"Corpus and Uterus, NOS",Female
Atlantic,Hispanic/Latino,~,~,~,,,Esophagus,Female
Atlantic,Hispanic/Latino,81,126.4,102,,,Female Breast,Female
Atlantic,Hispanic/Latino,10.3,27.8,17.5,,,"Female Breast, <i>in situ</i>",Female
Atlantic,Hispanic/Latino,~,~,~,,,Hodgkin Lymphoma,Female
Atlantic,Hispanic/Latino,~,~,~,,,Kaposi Sarcoma,Female
Atlantic,Hispanic/Latino,~,~,~,,,Kidney and Renal Pelvis,Female
Atlantic,Hispanic/Latino,~,~,~,,,Larynx,Female
Atlantic,Hispanic/Latino,~,~,~,,,Leukemias,Female
Atlantic,Hispanic/Latino,~,~,~,,,Liver and Intrahepatic Bile Duct,Female
Atlantic,Hispanic/Latino,~,~,~,,,Lung and Bronchus,Female
Atlantic,Hispanic/Latino,~,~,~,,,Melanomas of the Skin,Female
Atlantic,Hispanic/Latino,~,~,~,,,Mesothelioma,Female
Atlantic,Hispanic/Latino,~,~,~,,,Myeloma,Female
Atlantic,Hispanic/Latino,13,35.9,22.6,,,Non-Hodgkin Lymphoma,Female
Atlantic,Hispanic/Latino,~,~,~,,,Oral Cavity and Pharynx,Female
Atlantic,Hispanic/Latino,~,~,~,,,Ovary,Female
Atlantic,Hispanic/Latino,~,~,~,,,Pancreas,Female
Atlantic,Hispanic/Latino,~,~,~,,,Stomach,Female
Atlantic,Hispanic/Latino,12.7,30.8,20.2,,,Thyroid,Female
Atlantic,Hispanic/Latino,~,~,~,,,Urinary Bladder,Female
Atlantic,Hispanic/Latino,415,527,468.8,,,All Cancer Sites Combined,Male
Atlantic,Hispanic/Latino,~,~,~,,,Brain and Other Nervous System,Male
Atlantic,Hispanic/Latino,22.8,54.4,36.4,,,Colon and Rectum,Male
Atlantic,Hispanic/Latino,~,~,~,,,Esophagus,Male
Atlantic,Hispanic/Latino,~,~,~,,,Hodgkin Lymphoma,Male
Atlantic,Hispanic/Latino,~,~,~,,,Kaposi Sarcoma,Male
Atlantic,Hispanic/Latino,11.4,35.4,21.2,,,Kidney and Renal Pelvis,Male
Atlantic,Hispanic/Latino,~,~,~,,,Larynx,Male
Atlantic,Hispanic/Latino,12.7,31.9,20.6,,,Leukemias,Male
Atlantic,Hispanic/Latino,~,~,~,,,Liver and Intrahepatic Bile Duct,Male
Atlantic,Hispanic/Latino,36.8,83.6,57.3,,,Lung and Bronchus,Male
Atlantic,Hispanic/Latino,~,~,~,,,Male Breast,Male
Atlantic,Hispanic/Latino,~,~,~,,,Melanomas of the Skin,Male
Atlantic,Hispanic/Latino,~,~,~,,,Mesothelioma,Male
Atlantic,Hispanic/Latino,~,~,~,,,Myeloma,Male
Atlantic,Hispanic/Latino,15.9,41.6,26.6,,,Non-Hodgkin Lymphoma,Male
Atlantic,Hispanic/Latino,15.7,39.8,25.7,,,Oral Cavity and Pharynx,Male
Atlantic,Hispanic/Latino,~,~,~,,,Pancreas,Male
Atlantic,Hispanic/Latino,85.2,138.7,109.8,,,Prostate,Male
Atlantic,Hispanic/Latino,~,~,~,,,Stomach,Male
Atlantic,Hispanic/Latino,~,~,~,,,Testis,Male
Atlantic,Hispanic/Latino,~,~,~,,,Thyroid,Male
Atlantic,Hispanic/Latino,19.9,51.6,33.3,,,Urinary Bladder,Male
Atlantic,Hispanic/Latino,378,446.1,411.1,,,All Cancer Sites Combined,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Brain and Other Nervous System,Male and Female
Atlantic,Hispanic/Latino,8.3,24.9,15,,,Cervix,Male and Female
Atlantic,Hispanic/Latino,26.9,48.8,36.8,,,Colon and Rectum,Male and Female
Atlantic,Hispanic/Latino,20.5,43.6,30.5,,,"Corpus and Uterus, NOS",Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Esophagus,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Hodgkin Lymphoma,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Kaposi Sarcoma,Male and Female
Atlantic,Hispanic/Latino,11.3,25.6,17.5,,,Kidney and Renal Pelvis,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Larynx,Male and Female
Atlantic,Hispanic/Latino,10.2,21.7,15.2,,,Leukemias,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Liver and Intrahepatic Bile Duct,Male and Female
Atlantic,Hispanic/Latino,24.4,47.1,34.6,,,Lung and Bronchus,Male and Female
Atlantic,Hispanic/Latino,81,126.4,102,,,Male and Female Breast,Male and Female
Atlantic,Hispanic/Latino,10.3,27.8,17.5,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Melanomas of the Skin,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Mesothelioma,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Myeloma,Male and Female
Atlantic,Hispanic/Latino,17.1,34,24.6,,,Non-Hodgkin Lymphoma,Male and Female
Atlantic,Hispanic/Latino,9.6,22.1,14.9,,,Oral Cavity and Pharynx,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Ovary,Male and Female
Atlantic,Hispanic/Latino,6.9,19.7,12.2,,,Pancreas,Male and Female
Atlantic,Hispanic/Latino,85.2,138.7,109.8,,,Prostate,Male and Female
Atlantic,Hispanic/Latino,10.3,26.1,17.1,,,Stomach,Male and Female
Atlantic,Hispanic/Latino,~,~,~,,,Testis,Male and Female
Atlantic,Hispanic/Latino,8.4,18.5,12.7,,,Thyroid,Male and Female
Atlantic,Hispanic/Latino,11.5,27,18.2,,,Urinary Bladder,Male and Female
Atlantic,White,464.6,498.6,481.3,,,All Cancer Sites Combined,Female
Atlantic,White,4.2,8.5,6,,,Brain and Other Nervous System,Female
Atlantic,White,6.1,11.7,8.6,,,Cervix,Female
Atlantic,White,33.8,43.2,38.3,,,Colon and Rectum,Female
Atlantic,White,28.8,37.7,33,,,"Corpus and Uterus, NOS",Female
Atlantic,White,~,~,~,,,Esophagus,Female
Atlantic,White,127.4,145.9,136.4,,,Female Breast,Female
Atlantic,White,34.9,45.2,39.8,,,"Female Breast, <i>in situ</i>",Female
Atlantic,White,~,~,~,,,Hodgkin Lymphoma,Female
Atlantic,White,~,~,~,,,Kaposi Sarcoma,Female
Atlantic,White,9.3,14.7,11.7,,,Kidney and Renal Pelvis,Female
Atlantic,White,~,~,~,,,Larynx,Female
Atlantic,White,8.7,14,11,,,Leukemias,Female
Atlantic,White,3,6.3,4.4,,,Liver and Intrahepatic Bile Duct,Female
Atlantic,White,60.2,72,65.8,,,Lung and Bronchus,Female
Atlantic,White,20.4,28.4,24.2,,,Melanomas of the Skin,Female
Atlantic,White,~,~,~,,,Mesothelioma,Female
Atlantic,White,3.6,7.1,5.1,,,Myeloma,Female
Atlantic,White,15.3,22.1,18.4,,,Non-Hodgkin Lymphoma,Female
Atlantic,White,5.2,9.7,7.2,,,Oral Cavity and Pharynx,Female
Atlantic,White,11,17.3,13.9,,,Ovary,Female
Atlantic,White,10.9,16.5,13.4,,,Pancreas,Female
Atlantic,White,3.6,7.7,5.4,,,Stomach,Female
Atlantic,White,18.3,26.9,22.3,,,Thyroid,Female
Atlantic,White,9.5,14.6,11.8,,,Urinary Bladder,Female
Atlantic,White,526,563.6,544.5,,,All Cancer Sites Combined,Male
Atlantic,White,5.5,10.5,7.7,,,Brain and Other Nervous System,Male
Atlantic,White,40.3,51.7,45.7,,,Colon and Rectum,Male
Atlantic,White,6.1,10.8,8.2,,,Esophagus,Male
Atlantic,White,1.8,5.2,3.2,,,Hodgkin Lymphoma,Male
Atlantic,White,~,~,~,,,Kaposi Sarcoma,Male
Atlantic,White,20.2,28.5,24.1,,,Kidney and Renal Pelvis,Male
Atlantic,White,4.6,8.8,6.4,,,Larynx,Male
Atlantic,White,16.1,23.8,19.7,,,Leukemias,Male
Atlantic,White,10.7,16.7,13.4,,,Liver and Intrahepatic Bile Duct,Male
Atlantic,White,62.2,75.5,68.6,,,Lung and Bronchus,Male
Atlantic,White,~,~,~,,,Male Breast,Male
Atlantic,White,36.8,47.4,41.8,,,Melanomas of the Skin,Male
Atlantic,White,~,~,~,,,Mesothelioma,Male
Atlantic,White,4.1,8.3,5.9,,,Myeloma,Male
Atlantic,White,25.4,34.6,29.7,,,Non-Hodgkin Lymphoma,Male
Atlantic,White,20.3,28.1,23.9,,,Oral Cavity and Pharynx,Male
Atlantic,White,13.2,19.8,16.3,,,Pancreas,Male
Atlantic,White,102.4,118.5,110.2,,,Prostate,Male
Atlantic,White,7.3,12.4,9.5,,,Stomach,Male
Atlantic,White,4.5,9.8,6.8,,,Testis,Male
Atlantic,White,7.9,14.1,10.7,,,Thyroid,Male
Atlantic,White,40,50.9,45.2,,,Urinary Bladder,Male
Atlantic,White,495,519.9,507.3,,,All Cancer Sites Combined,Male and Female
Atlantic,White,5.4,8.6,6.8,,,Brain and Other Nervous System,Male and Female
Atlantic,White,6.1,11.7,8.6,,,Cervix,Male and Female
Atlantic,White,38.3,45.5,41.8,,,Colon and Rectum,Male and Female
Atlantic,White,28.8,37.7,33,,,"Corpus and Uterus, NOS",Male and Female
Atlantic,White,3.6,6,4.7,,,Esophagus,Male and Female
Atlantic,White,1.4,3.5,2.3,,,Hodgkin Lymphoma,Male and Female
Atlantic,White,~,~,~,,,Kaposi Sarcoma,Male and Female
Atlantic,White,15.3,20,17.5,,,Kidney and Renal Pelvis,Male and Female
Atlantic,White,2.5,4.6,3.4,,,Larynx,Male and Female
Atlantic,White,12.8,17.2,14.9,,,Leukemias,Male and Female
Atlantic,White,7.2,10.5,8.7,,,Liver and Intrahepatic Bile Duct,Male and Female
Atlantic,White,62.6,71.3,66.8,,,Lung and Bronchus,Male and Female
Atlantic,White,127.4,145.9,136.4,,,Male and Female Breast,Male and Female
Atlantic,White,34.9,45.2,39.8,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Atlantic,White,28.8,35.2,31.9,,,Melanomas of the Skin,Male and Female
Atlantic,White,0.8,2.1,1.3,,,Mesothelioma,Male and Female
Atlantic,White,4.3,6.9,5.5,,,Myeloma,Male and Female
Atlantic,White,21,26.5,23.6,,,Non-Hodgkin Lymphoma,Male and Female
Atlantic,White,13,17.3,15,,,Oral Cavity and Pharynx,Male and Female
Atlantic,White,11,17.3,13.9,,,Ovary,Male and Female
Atlantic,White,12.7,16.9,14.7,,,Pancreas,Male and Female
Atlantic,White,102.4,118.5,110.2,,,Prostate,Male and Female
Atlantic,White,5.8,8.9,7.2,,,Stomach,Male and Female
Atlantic,White,4.5,9.8,6.8,,,Testis,Male and Female
Atlantic,White,14.1,19.4,16.6,,,Thyroid,Male and Female
Atlantic,White,24,29.5,26.6,,,Urinary Bladder,Male and Female
Bergen,All Races,442.3,457.6,449.9,,,All Cancer Sites Combined,Female
Bergen,All Races,5.5,7.5,6.5,,,Brain and Other Nervous System,Female
Bergen,All Races,5.8,7.8,6.7,,,Cervix,Female
Bergen,All Races,31.5,35.6,33.5,,,Colon and Rectum,Female
Bergen,All Races,28.6,32.5,30.5,,,"Corpus and Uterus, NOS",Female
Bergen,All Races,1,1.9,1.4,,,Esophagus,Female
Bergen,All Races,137.8,146.5,142.1,,,Female Breast,Female
Bergen,All Races,47.8,53.1,50.4,,,"Female Breast, <i>in situ</i>",Female
Bergen,All Races,3,4.6,3.7,,,Hodgkin Lymphoma,Female
Bergen,All Races,~,~,~,,,Kaposi Sarcoma,Female
Bergen,All Races,9.4,11.7,10.5,,,Kidney and Renal Pelvis,Female
Bergen,All Races,0.5,1.1,0.8,,,Larynx,Female
Bergen,All Races,11.2,13.8,12.4,,,Leukemias,Female
Bergen,All Races,3.8,5.3,4.5,,,Liver and Intrahepatic Bile Duct,Female
Bergen,All Races,43.8,48.5,46.1,,,Lung and Bronchus,Female
Bergen,All Races,12.7,15.5,14.1,,,Melanomas of the Skin,Female
Bergen,All Races,0.3,0.9,0.6,,,Mesothelioma,Female
Bergen,All Races,4.3,5.9,5.1,,,Myeloma,Female
Bergen,All Races,18,21.2,19.5,,,Non-Hodgkin Lymphoma,Female
Bergen,All Races,4.3,5.9,5,,,Oral Cavity and Pharynx,Female
Bergen,All Races,10.3,12.7,11.4,,,Ovary,Female
Bergen,All Races,11.8,14.3,13,,,Pancreas,Female
Bergen,All Races,5.4,7.2,6.2,,,Stomach,Female
Bergen,All Races,27,31.4,29.1,,,Thyroid,Female
Bergen,All Races,8.2,10.3,9.2,,,Urinary Bladder,Female
Bergen,All Races,501.5,518.9,510.1,,,All Cancer Sites Combined,Male
Bergen,All Races,6.8,9.1,7.9,,,Brain and Other Nervous System,Male
Bergen,All Races,41.5,46.6,44,,,Colon and Rectum,Male
Bergen,All Races,4.4,6.2,5.2,,,Esophagus,Male
Bergen,All Races,3.1,4.8,3.9,,,Hodgkin Lymphoma,Male
Bergen,All Races,0.5,1.3,0.8,,,Kaposi Sarcoma,Male
Bergen,All Races,22,25.8,23.9,,,Kidney and Renal Pelvis,Male
Bergen,All Races,3,4.6,3.7,,,Larynx,Male
Bergen,All Races,18.8,22.4,20.5,,,Leukemias,Male
Bergen,All Races,9.1,11.6,10.3,,,Liver and Intrahepatic Bile Duct,Male
Bergen,All Races,49.4,55,52.1,,,Lung and Bronchus,Male
Bergen,All Races,~,~,~,,,Male Breast,Male
Bergen,All Races,21.2,25,23,,,Melanomas of the Skin,Male
Bergen,All Races,1,2,1.5,,,Mesothelioma,Male
Bergen,All Races,8.1,10.5,9.2,,,Myeloma,Male
Bergen,All Races,25.3,29.5,27.3,,,Non-Hodgkin Lymphoma,Male
Bergen,All Races,13.8,16.8,15.2,,,Oral Cavity and Pharynx,Male
Bergen,All Races,14.3,17.4,15.8,,,Pancreas,Male
Bergen,All Races,126.9,135.5,131.1,,,Prostate,Male
Bergen,All Races,10.9,13.6,12.2,,,Stomach,Male
Bergen,All Races,5.7,8,6.7,,,Testis,Male
Bergen,All Races,9.3,12,10.6,,,Thyroid,Male
Bergen,All Races,36.2,41.1,38.6,,,Urinary Bladder,Male
Bergen,All Races,467.3,478.7,473,,,All Cancer Sites Combined,Male and Female
Bergen,All Races,6.4,7.9,7.1,,,Brain and Other Nervous System,Male and Female
Bergen,All Races,5.8,7.8,6.7,,,Cervix,Male and Female
Bergen,All Races,36.7,39.9,38.3,,,Colon and Rectum,Male and Female
Bergen,All Races,28.6,32.5,30.5,,,"Corpus and Uterus, NOS",Male and Female
Bergen,All Races,2.7,3.6,3.1,,,Esophagus,Male and Female
Bergen,All Races,3.3,4.4,3.8,,,Hodgkin Lymphoma,Male and Female
Bergen,All Races,0.2,0.6,0.4,,,Kaposi Sarcoma,Male and Female
Bergen,All Races,15.6,17.8,16.7,,,Kidney and Renal Pelvis,Male and Female
Bergen,All Races,1.7,2.5,2.1,,,Larynx,Male and Female
Bergen,All Races,14.9,17,15.9,,,Leukemias,Male and Female
Bergen,All Races,6.5,7.8,7.1,,,Liver and Intrahepatic Bile Duct,Male and Female
Bergen,All Races,46.7,50.3,48.4,,,Lung and Bronchus,Male and Female
Bergen,All Races,137.8,146.5,142.1,,,Male and Female Breast,Male and Female
Bergen,All Races,47.8,53.1,50.4,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Bergen,All Races,16.7,18.9,17.8,,,Melanomas of the Skin,Male and Female
Bergen,All Races,0.7,1.2,0.9,,,Mesothelioma,Male and Female
Bergen,All Races,6.2,7.5,6.8,,,Myeloma,Male and Female
Bergen,All Races,21.8,24.3,23,,,Non-Hodgkin Lymphoma,Male and Female
Bergen,All Races,8.9,10.5,9.6,,,Oral Cavity and Pharynx,Male and Female
Bergen,All Races,10.3,12.7,11.4,,,Ovary,Male and Female
Bergen,All Races,13.4,15.3,14.3,,,Pancreas,Male and Female
Bergen,All Races,126.9,135.5,131.1,,,Prostate,Male and Female
Bergen,All Races,8,9.6,8.8,,,Stomach,Male and Female
Bergen,All Races,5.7,8,6.7,,,Testis,Male and Female
Bergen,All Races,18.8,21.4,20.1,,,Thyroid,Male and Female
Bergen,All Races,20.8,23.2,21.9,,,Urinary Bladder,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,All Cancer Sites Combined,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Brain and Other Nervous System,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Cervix,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Colon and Rectum,Female
Bergen,American Indian/Alaska Native,-,-,-,,,"Corpus and Uterus, NOS",Female
Bergen,American Indian/Alaska Native,-,-,-,,,Esophagus,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Female Breast,Female
Bergen,American Indian/Alaska Native,-,-,-,,,"Female Breast, <i>in situ</i>",Female
Bergen,American Indian/Alaska Native,-,-,-,,,Hodgkin Lymphoma,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Kaposi Sarcoma,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Kidney and Renal Pelvis,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Larynx,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Leukemias,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Liver and Intrahepatic Bile Duct,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Lung and Bronchus,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Melanomas of the Skin,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Mesothelioma,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Myeloma,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Non-Hodgkin Lymphoma,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Oral Cavity and Pharynx,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Ovary,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Pancreas,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Stomach,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Thyroid,Female
Bergen,American Indian/Alaska Native,-,-,-,,,Urinary Bladder,Female
Bergen,American Indian/Alaska Native,-,-,-,,,All Cancer Sites Combined,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Brain and Other Nervous System,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Colon and Rectum,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Esophagus,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Hodgkin Lymphoma,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Kaposi Sarcoma,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Kidney and Renal Pelvis,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Larynx,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Leukemias,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Liver and Intrahepatic Bile Duct,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Lung and Bronchus,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Male Breast,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Melanomas of the Skin,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Mesothelioma,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Myeloma,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Non-Hodgkin Lymphoma,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Oral Cavity and Pharynx,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Pancreas,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Prostate,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Stomach,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Testis,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Thyroid,Male
Bergen,American Indian/Alaska Native,-,-,-,,,Urinary Bladder,Male
Bergen,American Indian/Alaska Native,-,-,-,,,All Cancer Sites Combined,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Brain and Other Nervous System,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Cervix,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Colon and Rectum,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,"Corpus and Uterus, NOS",Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Esophagus,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Hodgkin Lymphoma,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Kaposi Sarcoma,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Kidney and Renal Pelvis,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Larynx,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Leukemias,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Liver and Intrahepatic Bile Duct,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Lung and Bronchus,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Male and Female Breast,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,"Male and Female Breast, <i>in situ</i>",Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Melanomas of the Skin,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Mesothelioma,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Myeloma,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Non-Hodgkin Lymphoma,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Oral Cavity and Pharynx,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Ovary,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Pancreas,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Prostate,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Stomach,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Testis,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Thyroid,Male and Female
Bergen,American Indian/Alaska Native,-,-,-,,,Urinary Bladder,Male and Female
Bergen,Asian/Pacific Islander,267.7,299.4,283.2,,,All Cancer Sites Combined,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Brain and Other Nervous System,Female
Bergen,Asian/Pacific Islander,3.5,8.1,5.4,,,Cervix,Female
Bergen,Asian/Pacific Islander,17.9,27.1,22.1,,,Colon and Rectum,Female
Bergen,Asian/Pacific Islander,11.8,18.9,15,,,"Corpus and Uterus, NOS",Female
Bergen,Asian/Pacific Islander,~,~,~,,,Esophagus,Female
Bergen,Asian/Pacific Islander,100.4,119.6,109.7,,,Female Breast,Female
Bergen,Asian/Pacific Islander,35.2,47,40.8,,,"Female Breast, <i>in situ</i>",Female
Bergen,Asian/Pacific Islander,~,~,~,,,Hodgkin Lymphoma,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Kaposi Sarcoma,Female
Bergen,Asian/Pacific Islander,4,9,6.1,,,Kidney and Renal Pelvis,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Larynx,Female
Bergen,Asian/Pacific Islander,3.8,8.9,6,,,Leukemias,Female
Bergen,Asian/Pacific Islander,2.2,6.3,3.8,,,Liver and Intrahepatic Bile Duct,Female
Bergen,Asian/Pacific Islander,16.3,25.3,20.4,,,Lung and Bronchus,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Melanomas of the Skin,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Mesothelioma,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Myeloma,Female
Bergen,Asian/Pacific Islander,6.1,11.8,8.6,,,Non-Hodgkin Lymphoma,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Oral Cavity and Pharynx,Female
Bergen,Asian/Pacific Islander,6.1,11.8,8.6,,,Ovary,Female
Bergen,Asian/Pacific Islander,5,10.7,7.5,,,Pancreas,Female
Bergen,Asian/Pacific Islander,7.7,14.3,10.7,,,Stomach,Female
Bergen,Asian/Pacific Islander,18.6,27.6,22.8,,,Thyroid,Female
Bergen,Asian/Pacific Islander,~,~,~,,,Urinary Bladder,Female
Bergen,Asian/Pacific Islander,270.3,306.7,288,,,All Cancer Sites Combined,Male
Bergen,Asian/Pacific Islander,3.6,9.1,5.9,,,Brain and Other Nervous System,Male
Bergen,Asian/Pacific Islander,28.6,41.2,34.4,,,Colon and Rectum,Male
Bergen,Asian/Pacific Islander,~,~,~,,,Esophagus,Male
Bergen,Asian/Pacific Islander,~,~,~,,,Hodgkin Lymphoma,Male
Bergen,Asian/Pacific Islander,~,~,~,,,Kaposi Sarcoma,Male
